"","mz","rt","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"group",mz,rt,c(1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2),mz,rt,c(1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2),mz,rt,c(1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2),mz,rt,c(1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2),mz,rt
"M200.1T2924",200.100006103516,2924.027,147887.526315791,451600.713166665,65290.3849285717,52834.5741624099,70042.5280949519,162012.438555555,175177.078526315,82619.4799999999,46255.0268554688,69198.2221333338,153273.468705881,98144.2800000001
"M205T2788.4",205,2788.3765,1778568.944,1567038.13810526,1482796.3848,1039129.81818181,1223132.352,1072037.6985,1950287.4888421,1466780.59999998,1572679.16109091,1275312.75818182,1356014.33418182,1231442.16000001
"M205.9927T2789.1",205.992697310125,2789.144,237993.621222225,269713.984105262,201393.4155,150107.310090909,176989.653272727,156797.03535,276541.849473688,222366.154999998,211717.712761905,186850.877863637,188285.941181819,172348.755000001
"M207.085T2717.6",207.084964531797,2717.594,380873.049000004,460629.738315788,351750.138318178,219287.967652175,286848.560869565,235022.62605,417169.584947367,324892.46336842,277990.700681815,220972.351999999,252874.0107,236728.159999998
"M219.0848T2523.9",219.084775924695,2523.863,235544.923263161,173623.37775,82759.5097943474,75292.4609375,185792.42895,174458.76768421,244584.47055,161184.045,72029.3783124993,73854.5367431641,238194.379157894,173829.95115
"M233.0371T3023.6",233.037075068284,3023.583,399145.340333331,356951.308222226,410550.655444443,198416.546947368,363381.664944443,317805.787888887,397107.782666665,271252.060000001,334459.926666671,181901.317499999,456900.468736841,294270.588388892
"M236.1018T2523.3",236.101801255234,2523.287,252282.035368424,206031.9273,71763.791473684,63954.4604492188,186660.9762,198804.282444444,253791.0714,187225.645,49061.1939561632,90012.6427368432,256263.261473684,206486.980526315
"M241.1275T3658.7",241.127523934488,3658.691,1465988.67130435,1318746.56866666,1215368.73927273,632037.425478263,579968.192086951,561964.932260872,1468102.63854546,1594705.06133334,1006929.31345455,805533.200347829,731777.646583328,522916.137130437
"M242.1415T3664.7",242.14153510902,3664.669,280767.609625001,248792.380958332,224467.690272728,109019.428499999,42407.6248168945,101092.933727273,280260.238695653,299453.212125002,188328.194954546,139748.299695652,139968.457439999,95347.8537142858
"M249.1239T3649.7",249.1239413184,3649.674,1435000.72,1228148.15809091,1193346.69890909,641881.756363638,536808.256173908,574005.707739125,1297985.81963637,1566269.10727273,1076654.09295651,747969.404608699,688496.327199996,485427.603652176
"M250.1289T3649.7",250.128878668766,3649.674,347794.775041668,238893.441272728,248245.609636364,126623.762086957,107844.147636362,118626.971583333,281745.026636364,336058.763478258,215534.929727273,149872.756173914,139317.285708332,99814.4919130439
"M255.1596T3658",255.15956744084,3658.0235,1420043.19166667,1187751.92139129,1264221.95686957,673816.218818184,581177.903478256,651560.258086959,1211727.05530435,1550070.65530435,1024087.20339131,875296.291772729,759075.901043472,640885.689652176
"M256.15T3452",256.150027482604,3451.957,229192.801894736,2899288.968,245869.325000001,110699.46561472,61597.6290090461,67604.970780222,249301.22985,293543.9313,185415.276,92262.3958333333,170656.943739131,159465.517714286
"M256.1519T3665.2",256.151909400348,3665.226,307708.367333335,207677.005714286,275104.924500001,96560.1014245075,47086.1163517879,28693.9383036296,258452.243181819,338390.940416664,213618.130173914,180384.485681819,164675.679913042,91822.7078125008
"M257.1314T3647.6",257.13144127998,3647.554,188817.159789473,224010.0729,227798.269999998,131171.360090909,54738.7057902018,16259.2888387044,257809.429473684,220890.756105266,190701.967238095,145974.265136362,44760.6341552734,144957.044681819
"M264.1441T3154",264.144101497159,3153.966,24685.127360026,185347.325166669,165143.892388888,188573.028,181567.06395,195963.039,35129.4330623851,129476.97317647,150120.706210526,169945.459473684,130895.083222224,144776.874666667
"M266.1782T3650.4",266.17822710951,3650.4065,379553.600086958,348338.537409092,325662.757304349,245240.896909092,143129.524208332,196007.901333332,223593.421875001,534034.478818183,312326.197826084,292310.403913045,182876.530719999,190006.066173914
"M267.1573T3649.7",267.157331441275,3649.674,1463921.08,1238442.42909091,1151405.91709091,603390.134363638,536560.993043474,564338.971304343,1364214.696,1615383.64072728,1009688.32831818,728041.893818184,651345.859043473,492315.920545456
"M269.1617T3885.2",269.161745032004,3885.2,666924.549166674,1237451.66628572,1063929.74628572,436101.188318183,499613.30359091,428313.974500001,464563.23225,2276576.5836,784441.770666667,620319.011130434,556389.854500001,392467.621304344
"M270.1767T3880.4",270.17665485582,3880.4425,130223.450117648,235715.8989,207683.26552381,74064.1257222219,72738.4658823524,64757.5847005208,90821.517176011,468060.8955,162845.814857143,131648.489142855,95452.7371673584,67114.2358049665
"M279.018T2789.1",279.017979016112,2789.1095,16540436.1742224,12335891.6850526,14683487.664,9660238.21409525,11775210.2400001,10293898.280421,18747984.3662224,12952090.2400001,11584736.4288,10705576.3260952,10839870.3072,11984043.8400001
"M280.017T2788.6",280.016984270135,2788.592,2942032.95777781,2199151.67915789,2579250.4332,1711820.032,2118031.59161905,1824953.984,3302721.35333337,2292925.32000001,2051176.82590476,1865185.36533334,1991723.90981819,2114477.76000001
"M281.0686T2789.3",281.068591106458,2789.325,403697.763722227,311745.340526315,364608.3108,113534.49,300199.865000002,269089.570105262,476559.337578946,315518.085000001,286027.47645,266741.438476191,283748.90925,295382.795000001
"M281.2T3649.7",281.200012207031,3649.674,2772936.69927273,2553705.3469091,2531423.5909565,1521876.3986087,1061126.81927272,1272520.87927271,2219966.32990476,3271118.06945455,2267969.68618179,1798533.40109091,1370601.44139129,1189252.71469566
"M282.1767T3470.3",282.176696755388,3470.3165,745727.15505263,4632131.53431585,772077.813882348,949999.735052629,231363.317545573,153129.106160482,609642.461789472,863350.164210524,1100345.79368421,419170.930285715,547837.99536842,265745.791058826
"M283.2T3883.9",283.200012207031,3883.922,414367.554944449,880917.95504762,1102490.17295238,485863.612954547,488737.758476191,479697.692045456,214465.971289062,2341040.004,806746.587818184,671217.807869564,573786.613826089,479045.105999995
"M284.1T2718.7",284.100006103516,2718.697,733321.817263156,939243.851789471,650687.012347829,550520.828896549,432174.119619048,524801.28765,878794.629789471,779270.236947366,573395.647846152,577530.179586207,400051.2984,576682.154999996
"M286.1792T3258.4",286.179202439571,3258.434,1557473.39966666,1463433.9274737,1485022.37642105,1084076.85885,1181006.73195,894860.379473696,1668944.39244444,1362196.34499999,1305651.23894737,1203023.55547368,1153278.57347368,1195802.41499999
"M288.138T2796",288.138037861934,2796.024,233984.233555554,295667.56845,323173.547333337,286756.260947368,318510.608000004,401680.332812503,988202.948777773,213838.28364563,639029.414444452,395495.063894736,544135.329894735,1734884.89155555
"M289.1269T3114.5",289.126901446668,3114.535,306747.825000001,290552.823263157,240938.009999997,206526.451500003,195948.525661892,230682.631789473,349864.328526315,211289.409222225,225114.294999998,166132.575000001,222710.724763569,246824.040930176
"M296.094T2726.7",296.094032800912,2726.729,136683.812722224,202807.78926316,172459.05495,134822.00745,84668.4898499999,84544.5586666663,180084.753473687,102759.465,149853.3522,126363.644952381,86857.5000000002,96876.32088889
"M300.1898T3390.7",300.189811573728,3390.6985,4534353.62273683,4980914.48421051,5290739.13866664,4564262.89684209,4733236.07999997,3931592.586,349660.88536842,491793.181333331,645526.704947367,634108.848947367,1438254.44559999,1364627.844
"M301T2789.2",301,2789.243,2739847.25473688,1732887.9144,2330865.11542857,1185809.87781818,1908462.9730909,1339885.1508,2844473.37600004,1716199.2876,1636414.36647619,1250314.07066667,1576059.46290909,1336835.52000001
"M301.1879T3391.1",301.187865077156,3391.126,962353.429578945,1047934.14136842,1109303.04472222,946943.392842103,984787.204999993,806171.472899999,80639.2842881944,118940.899088542,134531.38671875,102784.647854275,203982.760512408,291392.971409092
"M302.0013T2622.7",302.001290710137,2622.6895,643996.186421051,790351.629263156,444524.0475,385833.770608697,399591.811047619,454476.256,667080.72505263,653312.380000003,343121.412260867,327247.192380953,424152.173714286,504934.2474
"M302.0027T2789.4",302.002672858962,2789.394,494305.840736848,319649.88968421,450510.293739132,222683.876953125,350811.965000002,251603.2713,525006.2961,305139.005000001,301177.067227273,205882.874421772,267340.425223214,263387.935000002
"M304.1T2924.5",304.100006103516,2924.5415,1948205.59866666,1198308.81915,1243865.55189473,1045968.56747368,1419171.7776,1626956.84294736,1675019.50652631,1672881.4716,1125530.49168422,1313723.88165,1820963.30040003,1501736.01431579
"M305.1T2926.2",305.100006103516,2926.185,994373.817684208,888256.440000004,1063314.6672,1096130.20647619,1246073.69263159,1214950.01936842,1681341.89389473,1149447.58231579,810315.662842116,859584.524190477,2251478.21104762,1721307.2844
"M305.1T3505.9",305.100006103516,3505.943,557848.32141177,990038.12611764,1523254.27341175,748182.724500009,643288.347,635215.26673684,1196708.95270587,1030918.10738888,1237490.77405555,708628.753666675,461331.948974609,585316.919894735
"M306.1T2927.8",306.100006103516,2927.78,215368.056842105,409645.009999996,246498.779428572,247480.004571429,265343.086105267,270333.703263157,362282.185894736,292946.1204,193570.524952381,186105.9595,467150.934999996,374561.3928
"M306.1116T3506",306.111578780702,3505.9955,125473.85364706,218249.82635294,337795.682823527,159274.083368421,153809.5458,139507.233157894,266504.78752941,212509.622117646,272840.239166665,154863.772333335,96810.1491292318,97107.0398763021
"M306.9929T2623.9",306.992923318396,2623.8665,349067.118111109,420085.7883,226991.30265,117984.0625,197855.364571429,175941.336380953,338093.36295,319222.440000001,184048.866692307,77058.8286987305,184966.135350003,181595.7605
"M308.1218T3258",308.121772465821,3257.991,312927.856055554,1931395.44421052,246074.480470591,237549.176999999,146735.965000001,114054.477882354,209238.895058826,355567.999999995,145089.129333335,121584.974823529,247134.923473684,123431.55
"M309.1T2923.5",309.100006103516,2923.461,820897.836947366,406371.448105262,490685.200666672,258387.32955,570486.873,448465.402421051,655900.74105263,535264.54335,450819.841350006,323317.10505,621911.130000009,366731.331263157
"M309.2T3659.6",309.200012207031,3659.554,474829.718086958,357127.8498,375113.818434784,72220.1207987467,83873.0450000001,8979.21173095703,406958.041904762,499268.32304762,311566.800454546,223811.974318182,144582.6006,10970.9519958496
"M310.2T3637.6",310.200012207031,3637.55,192388.209199998,232015.944999998,197712.638812498,74611.4379882812,131799.345882354,128400.293647058,272303.463222221,161525.214999999,111250.912630208,57473.3469509549,101874.696494655,34266.3533742804
"M312.1T2999.2",312.100006103516,2999.1905,293193.90661111,263174.5116,296169.41936842,158153.847,243862.618526315,264121.30635,241411.910947368,288181.927999999,230302.349578947,149743.8057,192635.850000001,211505.766736842
"M313.0012T2786.3",313.001212832892,2786.2615,1704155.4324,6856948.35031588,897619.326149999,1642799.37219048,806366.75352381,307398.43365,915830.649299999,4877627.9578948,7685168.97959999,4134979.77904762,4114991.6389091,760122.81915
"M313.1744T3289.7",313.174369604539,3289.6975,1225817.54999999,1075844.97768421,862661.587368432,530671.4151,462568.708105262,469316.761157894,1230795.81499999,1269568.8174,750402.914699999,564428.002421051,509199.444842104,457307.085000002
"M314.0046T2786.3",314.004582029234,2786.324,388253.14035,1499485.01160002,171070.656631579,390983.008,178926.450000001,77007.8809814453,165809.822937501,1015506.86694738,1678104.69790476,925856.843227275,823072.932899999,162686.444999999
"M316.1711T3089.2",316.171137205312,3089.176,106306.469184028,125047.119473686,67253.0099999992,85672.4376627604,82592.9269883898,159768.606736844,1363190.24172222,70080.2165270354,302041.101894736,198404.027368421,172667.1933,1081830.44499999
"M321.1537T3654.4",321.153701164906,3654.355,297015.323359998,282316.235045455,323305.086399998,38719.5805333336,96046.9003333329,30523.7012894242,52232.1549362909,422866.367727274,293428.122541665,200103.610400001,117510.871863635,25054.9382324219
"M322.1487T3505.4",322.148665499173,3505.423,648546.052235301,1058978.4797647,1722624.64941175,1324834.36378947,650881.4844,937782.190947366,1401260.84894117,1450700.3701111,1509039.62368421,1351949.24577779,536634.537157893,904041.925684208
"M322.1212T3391.1",322.121163286913,3391.143,238208.46368421,272654.010777781,378948.167333332,273593.9487,247266.869999998,196256.131591797,22930.2129760742,32122.507421875,61130.9509277344,28101.7456787109,35036.7928659539,33834.4141909951
"M323.1439T3505.4",323.14394325296,3505.423,158127.916235296,277326.355764704,397502.883529409,307340.01368421,155371.3659,230601.254526315,323742.511058821,330337.862999998,354443.364526315,313828.285473688,136403.942526315,222893.888736842
"M324.0943T2791.7",324.094340549664,2791.6645,339832.022400005,284679.760000001,341633.138608697,175297.955891927,264128.199916667,283695.318260871,455424.617142858,379752.33195,303409.426791665,224206.885541668,241936.248091264,303097.266454546
"M324.1584T3275.3",324.158399885216,3275.343,221263.213578947,388214.928736847,186860.975578947,162564.375000001,148367.965157894,182694.969999998,30138.044921875,48752.4502088759,27555.3068462171,14009.294921875,25899.0799967448,19821.3821072049
"M326.2T3418.9",326.200012207031,3418.8865,4809521.44842104,3931304.6352,2913711.5472,2819100.93,3284987.2808421,4346409.703579,259229.27265,314154.3228,161900.583619048,200939.740000001,247976.865157894,237853.6206
"M327.1T3505.9",327.100006103516,3505.943,190747.102000002,275564.807444443,465617.920555553,263114.601052631,185070.329999999,202417.739166666,356507.684470586,296447.42611111,416275.22222222,248423.975944447,115602.492675781,184970.519157894
"M327.1989T3420.6",327.198887208875,3420.574,1108851.28263158,950126.528549999,674222.71365,677091.267,772290.305399999,1013977.91336843,59918.1294433594,30491.3351408306,22437.3347710503,5419.75264246324,49788.1628160979,8876.29371402138
"M328.2T3618.7",328.200012207031,3618.725,6463382.8665263,5630552.3844,4398403.51494736,3085430.3808,3289887.96840005,2626186.4136,402409.00136842,573880.805000002,403748.596315788,412858.154947367,385802.428650005,297208.544421052
"M329.1051T3499.4",329.105092281085,3499.3945,325363.790117645,367926.805000001,409585.08472222,291867.379052631,259407.67695,211961.166421052,432441.760235291,481405.639764711,382402.714210525,227057.789444443,187019.34975,161229.429999999
"M329.2T3621.7",329.200012207031,3621.651,1521141.36168421,1315446.8916,990625.76873684,707798.715899999,759301.2204,605854.743,114347.574315789,91557.5106811523,90124.3022460938,54205.2787155878,42964.0772372159,7832.00046705163
"M330.191T3618.7",330.190995048881,3618.725,201588.695263157,167042.482105263,143015.845157894,105447.718631579,92547.857473684,95737.3811999999,3154.95489032452,1100.82177734375,4871.03741096048,12609.7134399414,10502.7983630952,10531.4762073864
"M331.1459T3497.6",331.145851824147,3497.629,466357.165411769,490815.3,438999.397375004,372786.981055554,320962.880526315,307401.046631578,600145.551529418,402078.234999999,301914.002249997,414769.745666665,312639.4512,388149.200947373
"M335T2786",335,2786.041,382769.55555,1344842.91240002,190478.179047619,255464.744954546,163243.312761905,47842.9495849609,215083.925333334,843755.312100012,1435113.39672728,591752.314695647,763566.362000002,130790.895238095
"M338.1T3023.6",338.100006103516,3023.583,396319.791157894,441040.4688,411133.582947367,212310.14968421,341346.319999999,356067.779894741,364577.282499998,358070.434999997,360865.908526315,214432.218315789,438100.755999999,354304.084210531
"M338.2T3649.7",338.200012207031,3649.674,614212.525444442,605655.000000002,622113.929944452,335737.548631578,364966.68435,356312.810888893,557322.100055562,641973.074944441,476072.638947367,342120.329722221,339368.22652632,328142.859052631
"M339.1878T3319.8",339.187782065975,3319.8485,3474207.11095652,3533684.34573914,3243829.35860867,2482697.10469566,2321804.12254546,2311412.82436364,3467091.654,3924276.99699997,3301294.56208693,2476099.24800001,2415701.39527273,2138854.67636364
"M343T2684.5",343,2684.479,20269361.9199999,21948623.1359999,17930719.6444444,15378115.2937143,15793756.4586666,17800198.0504617,22065406.8258461,17773756.4603076,14333257.9034074,13440374.5721379,15108077.3262222,18737045.9022223
"M344T2684.5",344,2684.479,4426345.38367998,4808488.3033846,3954886.76207407,3374426.07171428,3500474.55514285,3862062.16338464,4933534.99015383,3982326.32769229,3276619.29422222,2910182.54628571,3298613.41107691,4092027.59644448
"M344.1385T2911.1",344.138498107545,2911.0685,64067.761640625,781070.545071428,669103.342879997,621011.554461533,548931.574999996,475386.242272728,145148.378730469,706044.223680005,695608.329583337,623623.088423082,619525.598086959,532428.835454547
"M345.0154T2684.7",345.015424623083,2684.6985,703795.376159996,744691.642961536,602322.945185184,508404.360115383,553315.795724136,600422.533615389,763241.946719996,611646.437769228,486979.557919997,458777.105178571,524993.430296295,644033.316807697
"M346.1308T3499.1",346.130767644841,3499.066,732502.016470583,890001.415000002,917425.206388885,952137.453157892,472769.83005,562731.599473683,994786.157647052,1435435.90200002,879991.735277774,751993.204315788,355132.53855,466886.449999996
"M347.1336T3499.4",347.133555659589,3499.3945,202822.159749998,236859.620000001,240054.653055554,247355.581052631,134452.883809524,150277.45365,271151.097882351,381682.125277782,238818.793157894,207879.78368421,101642.092190476,131434.959999999
"M348.1604T3497.2",348.160438700133,3497.1585,221323.833000003,202071.234999997,204324.223263157,187851.587263157,128782.8654,140879.9289,284864.7186,223959.324999998,150425.589888888,215002.2207,121967.757695652,176025.280000002
"M348.162T3287",348.162042921863,3287.0155,165830.902999999,183665.009888891,150844.995000002,134637.11694737,136452.455894736,167008.053263157,22601.9514878217,17421.5567355686,16138.8273654514,8383.03004150391,11539.4132486979,19319.333984375
"M351.1154T3499.4",351.115411831091,3499.3945,185786.686588234,191451.145,234594.071999998,186826.255126953,120076.846631579,105565.08968421,216720.878823528,242060.911833336,205668.513052631,152688.705338542,88486.8190526314,66543.8
"M352.1062T2789.3",352.106214288224,2789.325,265882.992947372,181651.115,227777.569136364,135104.090600586,116138.65,128637.698681819,269970.649565218,204617.523809521,251136.397826088,93027.6831298828,146512.79452174,125350.239999999
"M352.1518T3495.1",352.151769091188,3495.123,165714.372571429,354074.63235,161146.276571429,94089.4858886719,48234.3752000003,77757.6706499999,65660.2301513672,77334.0868652344,50596.6446261936,27340.7900390625,38068.5435424805,16094.7898530506
"M353.1278T3497.9",353.127765068609,3497.9115,223895.036722225,261258.573473688,205854.357166666,124798.5027,128120.89155,106673.072421052,245539.783333336,159550.185,120134.525222222,127073.726315789,114163.62,108292.97505
"M354.2T3611.9",354.200012207031,3611.89,1135610.95,904522.364526313,832780.319999991,532867.708842112,570306.90375,729939.965999998,112167.158823531,154475.666111113,51277.2249999999,52098.932604338,11468.9308837891,8335.9423828125
"M355.1853T3608.9",355.18532801429,3608.863,334039.86,257216.861647061,222655.68,126090.440470587,154979.578222224,218179.85961111,46450.6259765625,139505.407555555,44183.1363932292,131022.088526315,30192.6254150391,36449.2690795898
